WAGE	AGE	AGE2	AGEW	AGEY	CHILDREN	DEGREEW	FEDUCA	FEDUCH	GRADCOLLW	GRADHS	GRADHSW	HAPPINESS	MARRIED	MEDUCA	MEDUCH	SEX	YEARSCOLL	STATE	GRADCOLL	DEGREE
20	46	2116	0	0	0	0	0	4	0	1	0	2	4	0	4	1	0	12	0	0
10.85000038	55	3025	0	0	0	0	0	2	0	3	0	3	4	0	2	2	0	39	0	0
18.5	30	900	0	0	0	0	0	4	0	1	0	4	2	0	4	1	4	11	1	2
28	59	3481	61	17	1	0	0	2	5	1	1	1	1	0	3	1	1	48	5	0
15	26	676	0	0	0	0	0	8	0	1	0	1	2	0	8	2	4	41	1	2
13	33	1089	35	1	1	1	0	4	1	1	1	3	2	0	7	1	2	45	5	0
9.270000458	59	3481	0	0	0	0	0	8	0	1	0	1	2	0	3	2	5	48	1	2
24.5	32	1024	0	8	2	0	0	7	0	2	0	2	2	0	6	2	2	26	5	0
7.349999905	62	3844	58	16	1	0	0	3	0	2	1	2	1	0	3	1	0	26	0	0
8	44	1936	0	15	1	0	0	4	0	1	0	2	2	0	4	2	0	29	0	0
8.5	30	900	0	9	2	0	0	2	0	1	0	3	5	0	4	2	1	41	5	0
12.86999989	55	3025	45	0	0	0	0	2	0	3	1	2	3	0	2	1	0	47	0	0
21	35	1225	22	2	1	0	0	4	0	2	1	2	1	0	4	1	0	5	0	0
24.5	46	2116	0	15	1	0	0	6	0	1	0	2	2	0	3	2	2	18	5	0
17.15999985	60	3600	0	0	0	0	0	4	0	1	0	2	4	0	6	2	4	46	1	2
8.5	25	625	0	0	0	0	0	4	0	1	0	3	2	0	6	2	4	22	5	0
9.5	61	3721	52	11	1	1	0	1	1	2	1	3	1	0	1	1	0	39	0	0
18	36	1296	36	0	0	1	0	6	1	1	1	2	1	0	5	1	4	53	1	2
9.300000191	54	2916	0	0	0	0	0	5	0	2	0	3	2	0	3	2	0	48	0	0
10.5	31	961	0	4	5	0	0	3	0	2	0	3	2	0	3	2	0	24	0	0
21.79999924	66	4356	0	0	0	0	0	6	0	1	0	3	3	0	7	2	5	13	1	2
10.94999981	44	1936	39	0	0	0	0	4	0	1	1	2	1	0	4	1	0	29	0	0
10	24	576	0	0	0	0	0	0	0	1	0	3	2	6	0	2	2	6	5	0
11	49	2401	0	0	0	0	0	6	0	2	0	3	2	0	1	1	0	36	0	0
9.710000038	32	1024	0	6	2	0	0	3	0	1	0	2	4	0	7	2	2	17	1	1
10	51	2601	49	0	0	1	0	2	1	1	2	2	1	0	4	1	0	28	0	0
36.84000015	62	3844	63	0	0	2	0	8	1	1	1	3	1	0	2	1	5	6	1	3
8	36	1296	0	0	0	0	4	2	0	1	0	2	2	0	8	1	2	6	5	0
7.75	34	1156	0	6	2	0	0	6	0	2	0	2	2	0	3	2	0	28	0	0
27	57	3249	55	0	0	2	0	2	1	1	1	3	1	0	5	1	2	27	5	0
7.400000095	58	3364	0	0	0	0	0	5	0	1	0	4	4	0	5	2	0	39	0	0
19.5	29	841	29	0	0	2	0	7	1	1	1	2	1	0	7	1	4	6	1	2
27.20999908	52	2704	0	0	0	0	0	4	0	1	0	3	4	0	4	2	0	53	0	0
10.21000004	36	1296	0	11	2	0	0	4	0	1	0	3	2	0	6	2	0	45	0	0
8	60	3600	0	0	0	0	0	1	0	1	0	3	2	0	4	2	0	26	0	0
18	36	1296	36	2	1	3	6	0	1	1	1	4	1	1	0	1	5	6	1	2
11.35000038	67	4489	0	0	0	0	0	2	0	1	0	1	3	0	2	2	0	5	0	0
17.95999908	37	1369	0	9	1	0	0	4	0	1	0	3	2	0	5	2	2	26	5	0
7.25	40	1600	37	7	2	0	0	4	0	3	1	2	1	0	4	1	0	48	0	0
10.25	23	529	0	0	0	0	0	6	0	1	0	1	2	0	7	1	3	6	1	1
7.25	26	676	0	6	1	0	0	5	0	1	0	4	5	0	4	2	1	48	5	0
23	60	3600	53	2	2	0	12	0	0	0	0	0	1	12	0	1	0	4	0	0
15	33	1089	0	0	0	0	0	7	0	1	0	3	2	0	7	1	2	17	1	1
