"Title","LFS: ILO unemployment rate: England: Female: %: SA"
"CDID","YCPL"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","20-03-2025"
"Next release","15 April 2025"
"Important notes",
"2007 JUL","5.1"
"2007 AUG","5.1"
"2007 SEP","5.1"
"2007 OCT","5.0"
"2007 NOV","4.9"
"2007 DEC","4.9"
"2008 JAN","4.9"
"2008 FEB","4.9"
"2008 MAR","5.2"
"2008 APR","4.9"
"2008 MAY","5.0"
"2008 JUN","5.1"
"2008 JUL","5.3"
"2008 AUG","5.5"
"2008 SEP","5.6"
"2008 OCT","5.7"
"2008 NOV","5.8"
"2008 DEC","6.0"
"2009 JAN","6.2"
"2009 FEB","6.4"
"2009 MAR","6.5"
"2009 APR","6.7"
"2009 MAY","6.8"
"2009 JUN","6.8"
"2009 JUL","6.6"
"2009 AUG","6.6"
"2009 SEP","6.7"
"2009 OCT","6.7"
"2009 NOV","6.7"
"2009 DEC","6.5"
"2010 JAN","6.8"
"2010 FEB","6.8"
"2010 MAR","6.8"
"2010 APR","7.0"
"2010 MAY","6.9"
"2010 JUN","7.0"
"2010 JUL","7.1"
"2010 AUG","7.2"
"2010 SEP","7.2"
"2010 OCT","7.1"
"2010 NOV","7.2"
"2010 DEC","7.3"
"2011 JAN","7.2"
"2011 FEB","7.2"
"2011 MAR","7.1"
"2011 APR","7.3"
"2011 MAY","7.5"
"2011 JUN","7.6"
"2011 JUL","7.6"
"2011 AUG","7.7"
"2011 SEP","7.7"
"2011 OCT","7.8"
"2011 NOV","7.8"
"2011 DEC","7.8"
"2012 JAN","7.8"
"2012 FEB","7.6"
"2012 MAR","7.7"
"2012 APR","7.6"
"2012 MAY","7.6"
"2012 JUN","7.5"
"2012 JUL","7.3"
"2012 AUG","7.4"
"2012 SEP","7.4"
"2012 OCT","7.5"
"2012 NOV","7.5"
"2012 DEC","7.4"
"2013 JAN","7.7"
"2013 FEB","7.5"
"2013 MAR","7.5"
"2013 APR","7.3"
"2013 MAY","7.3"
"2013 JUN","7.1"
"2013 JUL","7.1"
"2013 AUG","7.2"
"2013 SEP","7.0"
"2013 OCT","6.9"
"2013 NOV","6.9"
"2013 DEC","7.1"
"2014 JAN","6.7"
"2014 FEB","6.6"
"2014 MAR","6.5"
"2014 APR","6.4"
"2014 MAY","6.2"
"2014 JUN","6.0"
"2014 JUL","5.8"
"2014 AUG","5.8"
"2014 SEP","5.7"
"2014 OCT","5.6"
"2014 NOV","5.5"
"2014 DEC","5.5"
"2015 JAN","5.5"
"2015 FEB","5.4"
"2015 MAR","5.3"
"2015 APR","5.6"
"2015 MAY","5.5"
"2015 JUN","5.4"
"2015 JUL","5.2"
"2015 AUG","5.1"
"2015 SEP","5.0"
"2015 OCT","4.9"
"2015 NOV","5.0"
"2015 DEC","4.9"
"2016 JAN","5.0"
"2016 FEB","5.0"
"2016 MAR","5.1"
"2016 APR","4.9"
"2016 MAY","4.9"
"2016 JUN","4.8"
"2016 JUL","5.1"
"2016 AUG","4.8"
"2016 SEP","4.7"
"2016 OCT","4.6"
"2016 NOV","4.6"
"2016 DEC","4.6"
"2017 JAN","4.5"
"2017 FEB","4.5"
"2017 MAR","4.5"
"2017 APR","4.4"
"2017 MAY","4.4"
"2017 JUN","4.4"
"2017 JUL","4.4"
"2017 AUG","4.3"
"2017 SEP","4.2"
"2017 OCT","4.3"
"2017 NOV","4.4"
"2017 DEC","4.4"
"2018 JAN","4.4"
"2018 FEB","4.3"
"2018 MAR","4.2"
"2018 APR","4.3"
"2018 MAY","4.2"
"2018 JUN","4.2"
"2018 JUL","4.1"
"2018 AUG","4.1"
"2018 SEP","4.1"
"2018 OCT","4.1"
"2018 NOV","4.0"
"2018 DEC","4.0"
"2019 JAN","3.9"
"2019 FEB","3.8"
"2019 MAR","3.8"
"2019 APR","3.7"
"2019 MAY","3.8"
"2019 JUN","3.7"
"2019 JUL","3.7"
"2019 AUG","3.7"
"2019 SEP","3.6"
"2019 OCT","3.6"
"2019 NOV","3.6"
"2019 DEC","3.7"
"2020 JAN","3.7"
"2020 FEB","3.9"
"2020 MAR","3.9"
"2020 APR","4.0"
"2020 MAY","4.0"
"2020 JUN","4.2"
"2020 JUL","4.3"
"2020 AUG","4.6"
"2020 SEP","4.9"
"2020 OCT","5.0"
"2020 NOV","5.1"
"2020 DEC","5.1"
"2021 JAN","4.9"
"2021 FEB","4.8"
"2021 MAR","4.8"
"2021 APR","4.9"
"2021 MAY","4.6"
"2021 JUN","4.5"
"2021 JUL","4.4"
"2021 AUG","4.3"
"2021 SEP","4.3"
"2021 OCT","4.2"
"2021 NOV","4.1"
"2021 DEC","4.0"
"2022 JAN","3.9"
"2022 FEB","3.8"
"2022 MAR","3.9"
"2022 APR","3.7"
"2022 MAY","3.8"
"2022 JUN","3.7"
"2022 JUL","3.7"
"2022 AUG","3.8"
"2022 SEP","3.9"
"2022 OCT","3.9"
"2022 NOV","4.0"
"2022 DEC","4.0"
"2023 JAN","4.0"
"2023 FEB","3.9"
"2023 MAR","3.8"
"2023 APR","3.8"
"2023 MAY","4.0"
"2023 JUN","4.0"
"2023 JUL","3.9"
"2023 AUG","3.7"
"2023 SEP","3.8"
"2023 OCT","3.7"
"2023 NOV","3.6"
"2023 DEC","3.9"
"2024 JAN","4.1"
"2024 FEB","4.4"
"2024 MAR","4.2"
"2024 APR","4.2"
"2024 MAY","4.1"
"2024 JUN","4.1"
"2024 JUL","4.1"
"2024 AUG","4.2"
"2024 SEP","4.1"
"2024 OCT","4.3"
"2024 NOV","4.3"
"2024 DEC","4.4"
